Date,Time,Age,Clutch,Test,Nontest,setupH,playbackH,tactileH,hypoxiaH,PropH,SUM of trait values,Indiv,Hcontext,HorNH,AmpR,Rsq,AmpL,Rsq,AverageR2,AverageAmp,Notes,outlier
20150704,11:57AM,,82,27,1,0,19,6,2,0.703703704,7,1,1,1,43.06656483,0.933264163,41.22766724,0.944710867,0.938987515,21.08332738,,
,,,,,,,,,,0.703703704,7,2,1,1,41.94197914,0.92697226,42.11493675,0.939137357,0.933054809,21.52399578,,
,,,,,,,,,,0.703703704,7,3,3,0,41.86971378,0.929441627,39.16749198,0.906491332,0.91796648,20.04272923,,
,,,,,,,,,,0.703703704,7,4,2,0,34.59703221,0.982092221,39.51649319,0.974016731,0.978054476,20.24727383,,
,,,,,,,,,,0.703703704,7,5,2,0,41.3407415,0.975162592,62.67665038,0.02166507,0.498413831,31.58753211,,
,,,,,,,,,,0.703703704,7,6,1,1,27.29809474,0.945915671,25.00434945,0.954488987,0.950202329,12.97727589,,
20150704,12:19PM,,83,47,1,0,3,19,25,0.063829787,6,1,3,0,33.27879676,0.971004256,32.07670453,0.948138289,0.959571273,16.5181379,,
,,,,,,,,,,0.063829787,7,2,3,0,36.78878009,0.90858041,37.58771107,0.88511864,0.896849525,19.2422803,,
,,,,,,,,,,0.063829787,6,3,3,0,33.83996509,0.969376226,30.06744896,0.943965236,0.956670731,15.51205985,,
,,,,,,,,,,0.063829787,7,4,1,1,27.54165487,0.940528503,29.65875314,0.90412845,0.922328476,15.29054081,,
,,,,,,,,,,0.063829787,5,5,1,1,46.13326648,0.951567253,43.49923047,0.970261859,0.960914556,22.23007251,,
20150704,1:11PM,,86,38,0,0,14,13,11,0.368421053,6,1,1,1,22.88299384,0.901067891,19.86971294,0.760787309,0.8309276,10.35032027,,
,,,,,,,,,,0.368421053,6,2,1,1,42.02153767,0.912514364,45.28401633,0.918965427,0.915739896,23.09987811,,
,,,,,,,,,,0.368421053,6,3,1,1,37.90384289,0.941060077,37.73578074,0.922326761,0.931693419,19.33373708,,
,,,,,,,,,,0.368421053,6,4,3,0,45.37812284,0.944682599,46.29086149,0.919194607,0.931938603,23.61140005,,
,,,,,,,,,,0.368421053,6,5,3,0,33.57370021,0.941695379,43.26531073,0.925670526,0.933682953,22.09949684,,
,,,,,,,,,,0.368421053,6,6,3,0,47.88794604,0.914117537,49.47053018,0.938154702,0.92613612,25.19833315,,
20150705,1:32PM,,92,17,1,1,12,2,3,0.705882353,7,1,1,1,44.71670071,0.960925785,41.61265432,0.951988436,0.956457111,21.28455571,,
,,,,,,,,,,0.705882353,7,2,1,1,38.06882054,0.985600485,26.93201146,0.945035559,0.965318022,13.94866474,,
,,,,,,,,,,0.705882353,7,3,1,1,58.44555754,0.964927333,50.45456482,0.978716931,0.971822132,25.71319348,,
,,,,,,,,,,0.705882353,7,4,3,0,38.24199756,0.966560105,50.45456482,0.914319365,0.940439735,25.69750228,,
,,,,,,,,,,0.705882353,7,5,3,0,38.72487455,0.966990493,28.70205849,0.939018436,0.953004464,14.82753147,,
,,,,,,,,,,0.705882353,7,6,2,0,51.34432547,0.981540712,41.69457347,0.966350586,0.973945649,21.33425956,,
20150705,2:47PM,,93,44,1,0,28,11,5,0.636363636,7,1,1,1,42.96392486,0.94973338,35.12919354,0.921807199,0.93577029,18.03248191,,
,,,,,,,,,,0.636363636,7,2,1,1,34.11807618,0.927280459,38.80722413,0.879615532,0.903447996,19.85533606,,
,,,,,,,,,,0.636363636,7,3,1,1,32.00333479,0.918303516,34.79121801,0.955295644,0.93679958,17.8640088,,
,,,,,,,,,,0.636363636,7,4,3,0,27.87746658,0.836853299,37.14678044,0.887918832,0.862386066,19.00458325,,
,,,,,,,,,,0.636363636,7,5,3,0,30.96809669,0.883654658,39.14173391,0.932178599,0.907916629,20.02482527,,
,,,,,,,,,,0.636363636,7,6,3,0,38.82630633,0.944464767,43.71833489,0.9659769,0.955220833,22.33677786,,
20150705,3:16PM,,94,33,2,1,29,4,0,0.878787879,7,1,1,1,47.06543081,0.977680079,48.74585276,0.965831929,0.971756004,24.85880438,,
,,,,,,,,,,0.878787879,7,2,1,1,36.575099,0.947399067,48.3120917,0.967605985,0.957502526,24.63479711,,
,,,,,,,,,,0.878787879,7,3,1,1,44.02670809,0.944610617,45.29207753,0.971456811,0.958033714,23.12505562,,
