Order,Date,Stimulus,Clutch,Age Block,Age Days,Time Block,Individual,Stimulus Time,End Stimulus Time,Stimulus Hour,Stimulus Min,Stimulus Time,Response,Number Hatched of 2,Hour Hatched,Minute Hatched,Time Hatched,Latency to Hatch in Hours,Latency to Hatch in Minutes,Age Hatched,Time of First Hatch,Hours Since First Hatch,Amplitude Right Eye,R2 for Right Eye ,Amplitude for Left Eye,R2 for Left Eye,Average R2 Value,Average Amplitude,Degrees off center in Right,Degrees off center in Left,Total Degrees off center,Tadpole Length,Developmental Stage,Mean Length,Mean Stage
1,20150811,H,254,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,1,1,9,17,9.28,0.28,16.8,81.28333333,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,2,8.6955,2
2,20150811,H,254,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,0,1,NA,NA,NA,NA,NA,NA,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.091,2,,
3,20150811,H,254,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,1,2,12,25,12.42,0.42,25.2,84.41666667,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.891,2,8.8275,2.5
4,20150811,H,254,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,1,NA,12,16,12.27,0.27,16.2,84.26666667,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.764,3,,
5,20150811,H,254,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,1,2,15,16,15.27,0.34,20.4,87.26666667,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.93,3,9.6425,3
6,20150811,H,254,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,1,NA,15,23,15.38,0.45,27,87.38333333,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.355,3,,
7,20150811,T,254,90,3,18,1,,,18,1,18.02,1,1,18,2,18.03,0.01,0.6,90.03333333,90.03333333,-0.03333333,12.7991005,0.870985558,9.477761756,0.739944701,0.805465129,11.13843113,-1.00E+01,4.15E+00,-14.20184578,9.397,3,9.3935,3
8,20150811,T,254,90,3,18,2,,,18,1,18.02,0,1,NA,NA,NA,NA,NA,NA,90.03333333,-0.03333333,4.222067231,0.456053935,3.404096415,0.274492866,0.3652734,3.813081823,-1.13E+01,1.03E+01,-21.5928733,9.39,3,,
9,20150811,T,254,93,3,21,3,,,21,0,21,1,1,21,5,21.08,0.08,4.8,93.08333333,90.03333333,2.96666667,15.27926933,0.895291829,19.4096552,0.892867119,0.894079474,17.34446227,-2.00E+00,6.35E+00,-8.35464047,9.638,4,9.6525,4.5
10,20150811,T,254,93,3,21,4,,,21,0,21,0,1,NA,NA,NA,NA,NA,NA,90.03333333,2.96666667,6.159287944,0.607663651,11.20284118,0.792008722,0.699836186,8.68106456,-4.25E+00,6.07E+00,-10.31706583,9.667,5,,
11,20150812,T,254,96,4,0,5,,,0,0,0,1,2,0,3,0.05,0.05,3,96.05,90.03333333,5.96666667,23.70446248,0.919623752,19.72474448,0.807588972,0.863606362,21.71460348,-5.07E+00,4.53E+00,-9.60207926,10.401,5,10.294,5
12,20150812,T,254,96,4,0,6,,,0,0,0,1,NA,0,4,0.07,0.07,4.2,96.06666667,90.03333333,5.96666667,25.49609084,0.970870369,26.08932794,0.954848478,0.962859423,25.79270939,-8.82E+00,4.70E+00,-13.51992328,10.187,5,,
13,20150812,T,254,99,4,3,7,,,3,3,3.05,1,2,3,4,3.066666667,0.016666667,1.00000002,99.06667,90.03333333,8.96666667,34.53989944,0.891153355,26.72548534,0.86418619,0.877669772,30.63269239,-9.62E+00,5.46E+00,-15.07633037,10.93,6,10.7355,6
